City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
245,Oskaloosa,US,2020-06-15 13:56:09,41.3,-92.64,69.8,52,1,12.75
246,Avanigadda,IN,2020-06-15 13:56:09,16.02,80.92,93.2,59,40,5.82
247,Sinazongwe,ZM,2020-06-15 13:56:09,-17.26,27.46,74.1,50,0,7.65
248,Gejiu,CN,2020-06-15 13:47:29,23.31,103.16,60.55,100,69,4.05
249,Tshikapa,CD,2020-06-15 13:56:09,-6.42,20.8,93.29,19,32,3.38
250,Gamba,GA,2020-06-15 13:56:09,-2.65,10.0,77.5,79,74,10.11
251,Bathsheba,BB,2020-06-15 13:47:33,13.22,-59.52,86.0,66,40,20.8
252,Pirna,DE,2020-06-15 13:56:09,50.96,13.94,75.99,57,100,8.37
253,Pereira Barreto,BR,2020-06-15 13:56:09,-20.64,-51.11,78.67,48,0,13.02
254,Mazatlan,MX,2020-06-15 13:52:09,23.22,-106.42,80.01,78,5,3.36
255,Bougouni,ML,2020-06-15 13:56:10,11.42,-7.48,102.65,27,6,5.03
256,Kruisfontein,ZA,2020-06-15 13:47:33,-34.0,24.73,55.98,82,97,11.52
257,Seoul,KR,2020-06-15 13:45:48,37.57,126.98,73.4,83,75,5.82
258,Tavrichanka,RU,2020-06-15 13:56:10,43.34,131.86,59.0,93,40,4.47
259,Kibala,TD,2020-06-15 13:56:10,9.11,18.35,91.4,43,77,4.7
260,Chikwawa,MW,2020-06-15 13:56:10,-16.03,34.8,77.09,45,4,6.33
261,Te Anau,NZ,2020-06-15 13:47:56,-45.42,167.72,51.76,87,100,4.59
262,Dubreka,GN,2020-06-15 13:56:11,9.79,-13.52,86.0,74,40,9.17
263,Kaitangata,NZ,2020-06-15 13:47:49,-46.28,169.85,48.99,68,1,1.99
264,Lekoni,GA,2020-06-15 13:56:11,-1.58,14.26,89.55,39,85,6.38
265,Cabedelo,BR,2020-06-15 13:48:13,-6.98,-34.83,84.2,74,40,3.36
266,Piacabucu,BR,2020-06-15 13:56:11,-10.41,-36.43,78.03,86,71,14.12
267,Sitka,US,2020-06-15 13:47:16,57.05,-135.33,48.2,93,90,4.7
268,Zhigansk,RU,2020-06-15 13:47:41,66.77,123.37,57.74,58,71,20.89
269,Karachi,PK,2020-06-15 13:53:07,24.91,67.08,91.4,59,83,16.11
270,Sioux Lookout,CA,2020-06-15 13:56:12,50.1,-91.92,62.6,51,75,5.82
271,Namatanai,PG,2020-06-15 13:56:12,-3.67,152.43,80.47,77,100,4.85
272,Sabang,ID,2020-06-15 13:48:06,5.89,95.32,82.67,80,100,17.85
273,Vagay,RU,2020-06-15 13:56:12,57.94,69.02,63.41,53,0,4.5
274,Noumea,NC,2020-06-15 13:47:53,-22.28,166.46,66.2,82,10,3.36
275,Bereda,ES,2020-06-15 13:56:12,43.27,-7.54,64.0,71,99,8.99
276,Iqaluit,CA,2020-06-15 13:46:50,63.75,-68.51,35.6,74,75,19.46
277,Bilma,NE,2020-06-15 13:56:13,18.69,12.92,114.01,6,0,16.13
278,Laguna,US,2020-06-15 13:48:26,38.42,-121.42,63.0,72,1,4.61
279,Sorsk,RU,2020-06-15 13:56:13,54.0,90.25,51.91,72,0,7.61
280,Leningradskiy,RU,2020-06-15 13:47:42,69.38,178.42,40.06,90,1,0.49
281,Adrar,MR,2020-06-15 13:56:13,20.5,-10.07,107.76,9,0,22.32
282,Sao Jose Da Coroa Grande,BR,2020-06-15 13:47:24,-8.9,-35.15,79.74,85,32,13.91
283,Hamilton,US,2020-06-15 13:45:58,39.18,-84.53,66.0,67,40,5.82
284,Shu,KZ,2020-06-15 13:48:16,43.6,73.76,85.75,22,0,2.8
285,Baie-Comeau,CA,2020-06-15 13:56:13,49.22,-68.15,57.2,41,1,9.17
286,Dingle,PH,2020-06-15 13:47:33,11.0,122.67,78.64,83,100,5.32
287,Nuevo Progreso,MX,2020-06-15 13:56:14,23.17,-97.95,80.01,73,0,1.99
288,Acari,PE,2020-06-15 13:56:14,-15.43,-74.62,71.89,44,50,5.21
289,Alekseyevka,RU,2020-06-15 13:56:14,50.63,38.69,75.83,73,80,15.23
290,Santa Cruz,BO,2020-06-15 13:56:14,-17.8,-63.17,68.0,60,22,3.36
291,San Bartolome De Tirajana,ES,2020-06-15 13:56:14,27.92,-15.57,78.01,73,20,6.93
292,Camocim,BR,2020-06-15 13:56:14,-2.9,-40.84,84.67,66,5,11.18
293,Coihaique,CL,2020-06-15 13:47:29,-45.58,-72.07,28.4,100,75,3.22
294,Tila,MX,2020-06-15 13:56:15,17.4,-92.48,75.16,79,13,1.41
295,Asyut,EG,2020-06-15 13:56:15,27.18,31.18,91.4,27,0,11.41
296,Watertown,US,2020-06-15 13:56:15,42.37,-71.18,64.99,67,40,8.05
297,Roald,NO,2020-06-15 13:56:15,62.58,6.13,70.0,68,0,6.93
298,Cuenca,EC,2020-06-15 13:53:33,-2.88,-78.98,57.2,82,100,3.36
299,Sebinkarahisar,TR,2020-06-15 13:56:16,40.29,38.42,72.57,37,100,6.78
300,Hambantota,LK,2020-06-15 13:48:01,6.12,81.12,91.4,59,20,12.75
301,Nakhodka,RU,2020-06-15 13:56:16,42.83,132.89,54.91,88,6,8.5
302,Sesheke,ZM,2020-06-15 13:56:16,-17.48,24.3,75.2,25,40,8.05
303,Panzhihua,CN,2020-06-15 13:56:16,26.59,101.71,71.01,83,20,2.93
